DatGeracaoConjuntoDados;AnoLeilao;DatLeilao;NumLeilao;DscNumeroLeilaoCCEE;DscTipoLeilao;NomEmpreendimento;CodCEG;IdeNucleoCEG;SigTipoGeracao;DscFonteEnergia;DscDetalhamentoFonteEnergia;MdaPotenciaInstaladaMW;MdaGarantiaFisicaSEL;VlrEnergiaVendida;VlrPrecoTeto;VlrPrecoLeilao;VlrDesagio;VlrInvestimentoPrevisto;MdaDuracaoContrato;SigUFPrincipal;VlrCotacaoDolar;VlrPrecoTetoDolar;VlrPrecoDolar;VlrInvestimentoDolar;DscEmpresaVencedora
2022-10-01;2011;2011-08-17;2011/2;12° LEN;A-3;Borgo;EOL.CV.BA.030837-4;30837;EOL;Eólica;Eólica;19,20;9,70;9,70;139,00;98,53;29,11;56602030,00;20;BA;1,58;85,49;62,02;35625648,29;Renova Energia S.A.
2022-10-01;2011;2011-08-17;2011/2;12° LEN;A-3;Delta do Parnaíba;EOL.CV.PI.030838-2;30838;EOL;Eólica;Eólica;28,80;15,00;14,80;139,00;100,13;27,96;108568910,00;20;PI;1,58;85,49;63,02;68333906,09;Omega Energia Renovável S.A.
2022-10-01;2011;2011-08-17;2011/2;12° LEN;A-3;Porto das Barcas;EOL.CV.PI.030827-7;30827;EOL;Eólica;Eólica;28,80;14,80;8,90;139,00;100,16;27,94;108568910,00;20;PI;1,58;85,49;63,04;68333906,09;Omega Energia Renovável S.A.
2022-10-01;2011;2011-08-17;2011/2;12° LEN;A-3;Minuano I;EOL.CV.RS.030844-7;30844;EOL;Eólica;Eólica;22,00;9,40;9,40;139,00;101,34;27,09;84030000,00;20;RS;1,58;85,49;63,78;52888972,81;Eletrosul Centrais Elétricas S.A.
2022-10-01;2011;2011-08-17;2011/2;12° LEN;A-3;São Jorge;EOL.CV.CE.030911-7;30911;EOL;Eólica;Eólica;27,60;13,20;12,10;139,00;103,98;25,19;104897000,00;20;CE;1,58;85,49;65,45;66022784,49;Central Eólica São Jorge
2022-10-01;2011;2011-08-17;2011/2;12° LEN;A-3;São Cristóvão;EOL.CV.CE.030912-5;30912;EOL;Eólica;Eólica;29,90;14,20;12,90;139,00;103,79;25,33;111343000,00;20;CE;1,58;85,49;65,33;70079934,54;Central Eólica São Cristovão
2022-10-01;2011;2011-08-17;2011/2;12° LEN;A-3;Passa Tempo;UTE.AI.MS.028111-5;28111;UTE;Biomassa;Bagaço de Cana;67,80;24,20;21,80;139,00;103,29;25,69;139709320,00;20;MS;1,58;85,49;65,01;87933862,03;LDC Bioenergia S.A.
2022-10-01;2011;2011-08-17;2011/2;12° LEN;A-3;Iaco Agrícola;UTE.AI.MS.030269-4;30269;UTE;Biomassa;Bagaço de Cana;30,00;12,80;4,00;139,00;101,99;26,62;74276490,00;20;MS;1,58;85,49;64,19;46750056,65;IACO AGRICOLA S.A.
2022-10-01;2011;2011-08-17;2011/2;12° LEN;A-3;Jirau (AMPLIAÇÃO);UHE.PH.RO.029736-4;29736;UHE;Hidro;Hidro;450,00;209,30;209,30;139,00;102,00;26,61;1514278640,00;30;RO;1,58;85,49;64,20;953095820,75;ENERGIA SUSTENTAVEL DO BRASIL
2022-10-01;2011;2011-08-17;2011/3;4° LER;LER;Bevap;UTE.AI.MG.030063-2;30063;UTE;Biomassa;Bagaço de Cana;60,00;33,10;1,00;146,00;100,09;31,44;,00;20;MG;1,58;89,89;63,00;32414400,81;Bioenergética Vale do Paracatu S.A.
2022-10-01;2011;2011-08-17;2011/3;4° LER;LER;Tropical Bioenergia;UTE.AI.GO.030080-2;30080;UTE;Biomassa;Bagaço de Cana;50,00;19,70;7,30;146,00;95,00;34,93;58279000,00;20;GO;1,58;89,89;59,79;36681143,00;TROPICAL BIOENERGIA S.A.
2022-10-01;2011;2011-08-17;2011/3;4° LER;LER;Iaco Agrícola;UTE.AI.MS.030269-4;30269;UTE;Biomassa;Bagaço de Cana;30,00;12,80;4,00;146,00;101,49;30,48;,00;20;MS;1,58;89,89;63,88;46750056,65;IACO AGRICOLA S.A.
2022-10-01;2011;2011-08-17;2011/3;4° LER;LER;Noble Energia II (Meridiano II);UTE.AI.SP.030271-6;30271;UTE;Biomassa;Bagaço de Cana;30,00;16,20;,10;146,00;98,78;32,34;,00;20;SP;1,58;89,89;62,17;46859673,97;Noble Brasil S.A.
2022-10-01;2011;2011-08-17;2011/3;4° LER;LER;Meridiano;UTE.AI.SP.030303-8;30303;UTE;Biomassa;Bagaço de Cana;60,00;18,80;,10;146,00;98,77;32,34;,00;20;SP;1,58;89,89;62,17;52698508,31;Noble Brasil S.A.
2022-10-01;2011;2011-08-17;2011/3;4° LER;LER;Vale do Rosário;UTE.AI.SP.002958-0;2958;UTE;Biomassa;Bagaço de Cana;97,00;34,40;10,80;146,00;101,50;30,47;1100000,00;20;SP;1,58;89,89;63,88;692346,42;LDC Bioenergia S.A.
2022-10-01;2011;2011-08-17;2011/3;4° LER;LER;Ventos de Santo Uriel;EOL.CV.RN.030828-5;30828;EOL;Eólica;Eólica;16,10;9,00;9,00;146,00;101,19;30,69;60934000,00;20;RN;1,58;89,89;63,69;38352215,51;Dobrevê Energia S.A.
2022-10-01;2011;2011-08-17;2011/3;4° LER;LER;Santo Cristo;EOL.CV.RN.030849-8;30849;EOL;Eólica;Eólica;28,80;15,30;14,80;146,00;98,92;32,24;128922000,00;30;RN;1,58;89,89;62,26;81144259,82;Voltalia Energia do Brasil Ltda.
2022-10-01;2011;2011-08-17;2011/3;4° LER;LER;Pelado;EOL.CV.RN.030856-0;30856;EOL;Eólica;Eólica;20,00;9,00;9,00;146,00;100,69;31,03;74775200,00;20;RN;1,58;89,89;63,37;47063947,63;Gestamp Eólica Brasil S.A.
2022-10-01;2011;2011-08-17;2011/3;4° LER;LER;Caiçara 2;EOL.CV.RN.030858-7;30858;EOL;Eólica;Eólica;28,80;14,50;14,50;146,00;100,07;31,45;105970000,00;20;RN;1,58;89,89;62,98;66698136,96;Bioenergy Geradora de Energia S.A.
2022-10-01;2011;2011-08-17;2011/3;4° LER;LER;Caiçara do Norte;EOL.CV.RN.030859-5;30859;EOL;Eólica;Eólica;28,80;13,70;13,70;146,00;100,07;31,45;105970000,00;20;RN;1,58;89,89;62,98;66698136,96;Bioenergy Geradora de Energia S.A.
2022-10-01;2011;2011-08-17;2011/3;4° LER;LER;Lanchinha;EOL.CV.RN.030860-9;30860;EOL;Eólica;Eólica;28,00;13,20;13,20;146,00;101,68;30,35;102222000,00;20;RN;1,58;89,89;64,00;64339123,87;Gestamp Eólica Brasil S.A.
2022-10-01;2011;2011-08-17;2011/3;4° LER;LER;Guaçu;UTE.FL.MT.030863-3;30863;UTE;Biomassa;Cavaco de Madeira;30,00;25,50;15,00;146,00;101,99;30,14;86735000,00;20;MT;1,58;89,89;64,19;54591515,61;Guaçu Geração de Energia S.A.
2022-10-01;2011;2011-08-17;2011/3;4° LER;LER;SM;EOL.CV.RN.030864-1;30864;EOL;Eólica;Eólica;30,00;15,70;15,70;146,00;101,98;30,15;111000000,00;20;RN;1,58;89,89;64,19;69864048,34;Santa Maria Energias Renováveis S.A.
2022-10-01;2011;2011-08-17;2011/3;4° LER;LER;Ventos de Sebastião;EOL.CV.CE.030839-0;30839;EOL;Eólica;Eólica;30,00;13,40;13,40;146,00;99,69;31,71;115420000,00;20;CE;1,58;89,89;62,75;72646022,16;ENERGIMP S.A.
2022-10-01;2011;2011-08-17;2011/3;4° LER;LER;Corredor do Senandes IV;EOL.CV.RS.030840-4;30840;EOL;Eólica;Eólica;27,00;12,90;12,90;146,00;99,50;31,84;103706950,00;20;RS;1,58;89,89;62,63;65273760,07;ODEBRECHT ENERGIAS ALTERNATIVAS S.A.
2022-10-01;2011;2011-08-17;2011/3;4° LER;LER;Malhadinha 1;EOL.CV.CE.030841-2;30841;EOL;Eólica;Eólica;22,00;12,80;12,00;146,00;98,95;32,22;91120000,00;20;CE;1,58;89,89;62,28;57351460,22;Servtec Investimentos e Participações Ltda.
2022-10-01;2011;2011-08-17;2011/3;4° LER;LER;Corredor do Senandes II;EOL.CV.RS.030842-0;30842;EOL;Eólica;Eólica;21,60;10,60;10,60;146,00;99,50;31,84;83002150,00;20;RS;1,58;89,89;62,63;52242038,02;ODEBRECHT ENERGIAS ALTERNATIVAS S.A.
2022-10-01;2011;2011-08-17;2011/3;4° LER;LER;Reduto;EOL.CV.RN.030843-9;30843;EOL;Eólica;Eólica;28,80;14,40;13,90;146,00;98,92;32,24;128922000,00;20;RN;1,58;89,89;62,26;81144259,82;Voltalia Energia do Brasil Ltda.
2022-10-01;2011;2011-08-17;2011/3;4° LER;LER;Carnaúbas;EOL.CV.RN.030831-5;30831;EOL;Eólica;Eólica;27,20;13,10;13,10;146,00;98,92;32,24;127088000,00;20;RN;1,58;89,89;62,26;79989929,51;Voltalia Energia do Brasil Ltda.
2022-10-01;2011;2011-08-17;2011/3;4° LER;LER;Carcará 1;EOL.CV.RN.030832-3;30832;EOL;Eólica;Eólica;28,80;16,30;13,80;146,00;99,92;31,56;142685000,00;20;RN;1,58;89,89;62,89;89806772,41;Voltalia Energia do Brasil Ltda.
2022-10-01;2011;2011-08-17;2011/3;4° LER;LER;Vento Aragano I;EOL.CV.RS.030833-1;30833;EOL;Eólica;Eólica;28,80;13,80;13,80;146,00;99,50;31,84;110608550,00;20;RS;1,58;89,89;62,63;69617667,42;ODEBRECHT ENERGIAS ALTERNATIVAS S.A.
2022-10-01;2011;2011-08-17;2011/3;4° LER;LER;Santa Helena;EOL.CV.RN.030834-0;30834;EOL;Eólica;Eólica;30,00;16,00;16,00;146,00;101,98;30,15;111000000,00;25;RN;1,58;89,89;64,19;69864048,34;Santa Helena Energias Renováveis S.A.
2022-10-01;2011;2011-08-17;2011/3;4° LER;LER;Ventos de Santo Inácio;EOL.CV.CE.030808-0;30808;EOL;Eólica;Eólica;30,00;13,20;13,20;146,00;100,79;30,96;115420000,00;20;CE;1,58;89,89;63,44;72646022,16;ENERGIMP S.A.
2022-10-01;2011;2011-08-17;2011/3;4° LER;LER;Pau Brasil;EOL.CV.CE.030809-9;30809;EOL;Eólica;Eólica;15,00;7,70;7,10;146,00;99,70;31,71;52227000,00;20;CE;1,58;89,89;62,75;32871978,85;EMPRESA BRASILEIRA DE DESENVOLVIMENTO E PARTICIPAÇÕES Ltda.
2022-10-01;2011;2011-08-17;2011/3;4° LER;LER;São Paulo;EOL.CV.CE.030815-3;30815;EOL;Eólica;Eólica;17,50;8,10;7,60;146,00;99,70;31,71;62261000,00;20;CE;1,58;89,89;62,75;39187437,06;EMPRESA BRASILEIRA DE DESENVOLVIMENTO E PARTICIPAÇÕES Ltda.
2022-10-01;2011;2011-08-17;2011/3;4° LER;LER;Corredor do Senandes III;EOL.CV.RS.030819-6;30819;EOL;Eólica;Eólica;27,00;13,20;13,20;146,00;99,50;31,84;103706950,00;20;RS;1,58;89,89;62,63;65273760,07;ODEBRECHT ENERGIAS ALTERNATIVAS S.A.
2022-10-01;2011;2011-08-17;2011/3;4° LER;LER;São João da Boa Vista;EOL.CV.RN.030804-8;30804;EOL;Eólica;Eólica;28,80;14,30;14,30;146,00;98,92;32,24;128922000,00;15;RN;1,58;89,89;62,26;81144259,82;Voltalia Energia do Brasil Ltda.
2022-10-01;2011;2011-08-17;2011/3;4° LER;LER;Ventos de São Geraldo;EOL.CV.CE.030785-8;30785;EOL;Eólica;Eólica;30,00;14,60;14,60;146,00;99,11;32,11;115420000,00;20;CE;1,58;89,89;62,38;72646022,16;ENERGIMP S.A.
2022-10-01;2011;2011-08-17;2011/3;4° LER;LER;Famosa I;EOL.CV.RN.030878-1;30878;EOL;Eólica;Eólica;22,50;11,10;10,40;146,00;99,70;31,71;80121000,00;20;RN;1,58;89,89;62,75;50428625,38;EMPRESA BRASILEIRA DE DESENVOLVIMENTO E PARTICIPAÇÕES Ltda.
2022-10-01;2011;2011-08-17;2011/3;4° LER;LER;Rosada;EOL.CV.RN.031125-1;31125;EOL;Eólica;Eólica;30,00;13,40;12,80;146,00;99,70;31,71;104553000,00;20;RN;1,58;89,89;62,75;65806268,88;EMPRESA BRASILEIRA DE DESENVOLVIMENTO E PARTICIPAÇÕES Ltda.
2022-10-01;2011;2011-08-17;2011/3;4° LER;LER;Miassaba 4;EOL.CV.RN.030429-8;30429;EOL;Eólica;Eólica;28,80;13,50;13,50;146,00;100,07;31,45;,00;20;RN;1,58;89,89;62,98;66698136,96;MIASSABA GERADORA EÓLICA S.A.
2022-10-01;2011;2011-08-17;2011/3;4° LER;LER;Ventos de Santa Rosa;EOL.CV.CE.030783-1;30783;EOL;Eólica;Eólica;30,00;13,50;13,50;146,00;99,21;32,04;115420000,00;20;CE;1,58;89,89;62,44;72646022,16;ENERGIMP S.A.
2022-10-01;2011;2011-08-17;2011/3;4° LER;LER;Inhambú;EOL.CV.BA.030751-3;30751;EOL;Eólica;Eólica;25,60;15,50;15,50;146,00;96,97;33,58;45335050,00;20;BA;1,58;89,89;61,03;28534145,27;Brazil Energy S.A.
2022-10-01;2011;2011-08-17;2011/3;4° LER;LER;Corrupião;EOL.CV.BA.030752-1;30752;EOL;Eólica;Eólica;22,40;13,70;13,70;146,00;96,97;33,58;94474680,00;20;BA;1,58;89,89;61,03;59462915,41;Brazil Energy S.A.
2022-10-01;2011;2011-08-17;2011/3;4° LER;LER;Tamanduá Mirim;EOL.CV.BA.030753-0;30753;EOL;Eólica;Eólica;24,00;13,60;13,60;146,00;96,97;33,58;42501610,00;20;BA;1,58;89,89;61,03;26750761,58;Brazil Energy S.A.
2022-10-01;2011;2011-08-17;2011/3;4° LER;LER;Teiú;EOL.CV.BA.030731-9;30731;EOL;Eólica;Eólica;17,60;8,20;8,20;146,00;99,98;31,52;74230250,00;20;BA;1,58;89,89;62,93;46720952,92;Brazil Energy S.A.
2022-10-01;2011;2011-08-17;2011/3;4° LER;LER;Angical;EOL.CV.BA.030732-7;30732;EOL;Eólica;Eólica;16,00;6,00;6,00;146,00;99,98;31,52;67582050,00;20;BA;1,58;89,89;62,93;42536537,01;Brazil Energy S.A.
2022-10-01;2011;2011-08-17;2011/3;4° LER;LER;Parque Eólico dos Indios 2;EOL.CV.RS.030734-3;30734;EOL;Eólica;Eólica;28,00;11,50;11,50;146,00;100,01;31,50;127823230,00;20;RS;1,58;89,89;62,95;80452687,56;Enerfin do Brasil Sociedade de Energia Ltda.
2022-10-01;2011;2011-08-17;2011/3;4° LER;LER;Coqueirinho;EOL.CV.BA.030738-6;30738;EOL;Eólica;Eólica;22,40;13,50;13,50;146,00;96,97;33,58;39671180,00;20;BA;1,58;89,89;61,03;24969272,41;Brazil Energy S.A.
2022-10-01;2011;2011-08-17;2011/3;4° LER;LER;Caititu;EOL.CV.BA.030739-4;30739;EOL;Eólica;Eólica;20,80;10,50;10,50;146,00;99,98;31,52;36837700,00;20;BA;1,58;89,89;62,93;23185863,54;Brazil Energy S.A.
2022-10-01;2011;2011-12-20;2011/7;13° LEN;A-5;Força 2 (Cabo Verde 2);EOL.CV.RS.030883-8;30883;EOL;Eólica;Eólica;28,00;12,40;12,40;112,00;104,90;6,33;102258910,00;20;RS;1,84;58,70;56,86;55424883,47;Enerfin do Brasil Sociedade de Energia Ltda.
2022-10-01;2011;2011-12-20;2011/7;13° LEN;A-5;Ubatuba;EOL.CV.CE.030918-4;30918;EOL;Eólica;Eólica;12,60;5,80;5,10;112,00;107,69;3,84;44967000,00;20;CE;1,84;58,70;58,37;24372357,72;ALUPAR Investimento S.A.
2022-10-01;2011;2011-12-20;2011/7;13° LEN;A-5;Goiabeira;EOL.CV.CE.030920-6;30920;EOL;Eólica;Eólica;19,20;9,90;8,70;112,00;107,70;3,83;67233000,00;20;CE;1,84;58,70;58,37;36440650,41;ALUPAR Investimento S.A.
2022-10-01;2011;2011-12-20;2011/7;13° LEN;A-5;Ventos de Campo Formoso I;EOL.CV.BA.030943-5;30943;EOL;Eólica;Eólica;29,90;15,50;15,50;112,00;102,49;8,49;102940000,00;20;BA;1,84;58,70;55,55;55794037,94;Atlantic Energias Renováveis S.A.
2022-10-01;2011;2011-12-20;2011/7;13° LEN;A-5;Ventos da Andorinha;EOL.CV.BA.030944-3;30944;EOL;Eólica;Eólica;29,90;15,90;15,90;112,00;102,49;8,49;102940000,00;20;BA;1,84;58,70;55,55;55794037,94;Atlantic Energias Renováveis S.A.
2022-10-01;2011;2011-12-20;2011/7;13° LEN;A-5;Ventos de Morrinhos;EOL.CV.BA.030945-1;30945;EOL;Eólica;Eólica;29,90;15,00;15,00;112,00;102,49;8,49;102940000,00;20;BA;1,84;58,70;55,55;55794037,94;Atlantic Energias Renováveis S.A.
2022-10-01;2011;2011-12-20;2011/7;13° LEN;A-5;Ventos do Sertão;EOL.CV.BA.030946-0;30946;EOL;Eólica;Eólica;29,90;15,70;12,70;112,00;109,40;2,32;102940000,00;20;BA;1,84;58,70;59,30;55794037,94;Atlantic Energias Renováveis S.A.
2022-10-01;2011;2011-12-20;2011/7;13° LEN;A-5;Ventos de Campo Formoso II;EOL.CV.BA.031010-7;31010;EOL;Eólica;Eólica;29,90;15,50;15,50;112,00;102,49;8,49;102940000,00;20;BA;1,84;58,70;55,55;55794037,94;Atlantic Energias Renováveis S.A.
2022-10-01;2011;2011-12-20;2011/7;13° LEN;A-5;Cabeço Preto III;EOL.CV.RN.031015-8;31015;EOL;Eólica;Eólica;28,00;13,60;13,60;112,00;108,12;3,46;110237000,00;20;RN;1,84;58,70;58,60;59749051,49;Gestamp Eólica S.L.
2022-10-01;2011;2011-12-20;2011/7;13° LEN;A-5;Macambira I;EOL.CV.RN.031025-5;31025;EOL;Eólica;Eólica;20,00;9,70;9,70;112,00;106,94;4,51;73325200,00;20;RN;1,84;58,70;57,96;39742655,83;Gestamp Eólica S.L.
2022-10-01;2011;2011-12-20;2011/7;13° LEN;A-5;Macambira II;EOL.CV.RN.031026-3;31026;EOL;Eólica;Eólica;18,00;9,00;9,00;112,00;106,82;4,62;70171920,00;20;RN;1,84;58,70;57,90;38033560,98;Gestamp Eólica S.L.
2022-10-01;2011;2011-12-20;2011/7;13° LEN;A-5;Marco dos Ventos 1;EOL.CV.MA.030713-0;30713;EOL;Eólica;Eólica;28,80;16,30;16,30;112,00;104,34;6,83;105970000,00;20;MA;1,84;58,70;56,55;57436314,36;Bioenergy Geradora de Energia S.A.
2022-10-01;2011;2011-12-20;2011/7;13° LEN;A-5;Marco dos Ventos 2;EOL.CV.MA.030714-9;30714;EOL;Eólica;Eólica;28,80;16,30;16,30;112,00;104,62;6,58;105970000,00;20;MA;1,84;58,70;56,70;57436314,36;Bioenergy Geradora de Energia S.A.
2022-10-01;2011;2011-12-20;2011/7;13° LEN;A-5;Cabeço Preto V;EOL.CV.RN.030876-5;30876;EOL;Eólica;Eólica;28,80;14,00;14,00;112,00;106,96;4,50;110237000,00;20;RN;1,84;58,70;57,97;59749051,49;Gestamp Eólica S.L.
2022-10-01;2011;2011-12-20;2011/7;13° LEN;A-5;Força 1 (Cabo Verde 3);EOL.CV.RS.030877-3;30877;EOL;Eólica;Eólica;22,00;9,90;9,90;112,00;104,90;6,33;79823590,00;20;RS;1,84;58,70;56,86;43264818,43;Enerfin do Brasil Sociedade de Energia Ltda.
2022-10-01;2011;2011-12-20;2011/7;13° LEN;A-5;Morro dos Ventos II;EOL.CV.RN.030889-7;30889;EOL;Eólica;Eólica;28,80;15,30;15,10;112,00;107,46;4,05;115200000,00;20;RN;1,84;58,70;58,24;62439024,39;Dobrevê Energia S.A.
2022-10-01;2011;2011-12-20;2011/7;13° LEN;A-5;Parque Eólico dos Índios 3;EOL.CV.RS.030894-3;30894;EOL;Eólica;Eólica;22,00;8,80;8,80;112,00;103,99;7,15;79823590,00;20;RS;1,84;58,70;56,36;43264818,43;Enerfin do Brasil Sociedade de Energia Ltda.
2022-10-01;2011;2011-12-20;2011/7;13° LEN;A-5;Caiçara I;EOL.CV.RN.030895-1;30895;EOL;Eólica;Eólica;30,60;14,60;13,50;112,00;107,98;3,58;100893000,00;20;CE;1,84;58,70;58,53;54684552,85;Voltalia S.A.
2022-10-01;2011;2011-12-20;2011/7;13° LEN;A-5;Carcará 2;EOL.CV.RN.030897-8;30897;EOL;Eólica;Eólica;28,80;14,60;13,50;112,00;107,03;4,43;101889000,00;20;RN;1,84;58,70;58,01;55224390,24;Voltalia S.A.
2022-10-01;2011;2011-12-20;2011/7;13° LEN;A-5;Terral;EOL.CV.RN.030898-6;30898;EOL;Eólica;Eólica;28,80;16,00;13,50;112,00;107,03;4,43;101687000,00;20;RN;1,84;58,70;58,01;55114905,15;Voltalia S.A.
2022-10-01;2011;2011-12-20;2011/7;13° LEN;A-5;Cataventos Embuaca;EOL.CV.CE.030899-4;30899;EOL;Eólica;Eólica;12,00;6,70;6,20;112,00;107,31;4,18;48127000,00;20;CE;1,84;58,70;58,16;26085094,85;Tecneira Tecnologias Energéticas S.A.
2022-10-01;2011;2011-12-20;2011/7;13° LEN;A-5;Cabeço Preto VI;EOL.CV.RN.030900-1;30900;EOL;Eólica;Eólica;19,80;9,50;9,50;112,00;106,98;4,48;77580000,00;20;RN;1,84;58,70;57,98;42048780,49;Gestamp Eólica S.L.
2022-10-01;2011;2011-12-20;2011/7;13° LEN;A-5;PONTAL 3B;EOL.CV.RS.030901-0;30901;EOL;Eólica;Eólica;25,60;11,00;11,00;112,00;106,97;4,49;102140400,00;20;RS;1,84;58,70;57,98;55360650,41;Oleoplan S.A.
2022-10-01;2011;2011-12-20;2011/7;13° LEN;A-5;Junco I;EOL.CV.RN.030902-8;30902;EOL;Eólica;Eólica;30,60;13,10;12,10;112,00;107,98;3,58;100893000,00;20;CE;1,84;58,70;58,53;54684552,85;Voltalia S.A.
2022-10-01;2011;2011-12-20;2011/7;13° LEN;A-5;Jandaia I;EOL.CV.CE.030907-9;30907;EOL;Eólica;Eólica;19,20;9,90;8,70;112,00;107,70;3,83;69473000,00;20;CE;1,84;58,70;58,37;37654742,55;ALUPAR Investimento S.A.
2022-10-01;2011;2011-12-20;2011/7;13° LEN;A-5;Força 3 (Cabo Verde);EOL.CV.RS.030908-7;30908;EOL;Eólica;Eólica;22,00;9,50;9,50;112,00;104,90;6,33;79823590,00;20;RS;1,84;58,70;56,86;43264818,43;Enerfin do Brasil Sociedade de Energia Ltda.
2022-10-01;2011;2011-12-20;2011/7;13° LEN;A-5;Junco II;EOL.CV.RN.030914-1;30914;EOL;Eólica;Eólica;30,60;13,30;11,40;112,00;107,98;3,58;100893000,00;20;CE;1,84;58,70;58,53;54684552,85;Voltalia S.A.
2022-10-01;2011;2011-12-20;2011/7;13° LEN;A-5;Caiçara II;EOL.CV.RN.030915-0;30915;EOL;Eólica;Eólica;19,80;9,60;9,30;112,00;107,98;3,58;67768000,00;20;CE;1,84;58,70;58,53;36730623,31;Voltalia S.A.
2022-10-01;2011;2011-12-20;2011/7;13° LEN;A-5;Santa Catarina;EOL.CV.CE.030924-9;30924;EOL;Eólica;Eólica;16,00;8,50;7,50;112,00;107,70;3,83;52855000,00;20;CE;1,84;58,70;58,37;28647696,48;ALUPAR Investimento S.A.
2022-10-01;2011;2011-12-20;2011/7;13° LEN;A-5;Ventos de Horizonte;EOL.CV.CE.030925-7;30925;EOL;Eólica;Eólica;14,40;7,30;6,40;112,00;107,69;3,84;51940000,00;20;CE;1,84;58,70;58,37;28151761,52;ALUPAR Investimento S.A.
2022-10-01;2011;2011-12-20;2011/7;13° LEN;A-5;Pitombeira;EOL.CV.CE.030926-5;30926;EOL;Eólica;Eólica;27,00;13,90;12,20;112,00;107,70;3,83;91226000,00;20;CE;1,84;58,70;58,37;49444986,45;ALUPAR Investimento S.A.
2022-10-01;2011;2011-12-20;2011/7;13° LEN;A-5;São Clemente;EOL.CV.CE.030927-3;30927;EOL;Eólica;Eólica;19,20;9,30;8,20;112,00;107,69;3,84;71633000,00;20;CE;1,84;58,70;58,37;38825474,25;ALUPAR Investimento S.A.
2022-10-01;2011;2011-12-20;2011/7;13° LEN;A-5;Jandaia;EOL.CV.CE.030929-0;30929;EOL;Eólica;Eólica;28,80;14,10;11,70;112,00;107,70;3,83;97564000,00;20;CE;1,84;58,70;58,37;52880216,80;ALUPAR Investimento S.A.
2022-10-01;2011;2011-12-20;2011/7;13° LEN;A-5;São Januário;EOL.CV.CE.030929-0;30929;EOL;Eólica;Eólica;19,20;9,00;7,90;112,00;107,69;3,84;71633000,00;20;CE;1,84;58,70;58,37;38825474,25;ALUPAR Investimento S.A.
2022-10-01;2011;2011-12-20;2011/7;13° LEN;A-5;Nossa Senhora de Fátima;EOL.CV.CE.030930-3;30930;EOL;Eólica;Eólica;28,80;12,80;11,20;112,00;107,69;3,84;97654000,00;20;CE;1,84;58,70;58,37;52928997,29;ALUPAR Investimento S.A.
2022-10-01;2011;2011-12-20;2011/7;13° LEN;A-5;Baixa do Feijão IV;EOL.CV.RN.030931-1;30931;EOL;Eólica;Eólica;30,00;13,70;13,30;112,00;97,00;13,39;117027700,00;20;RN;1,84;58,70;52,57;63429647,70;EDP Renováveis Brasil S.A.
2022-10-01;2011;2011-12-20;2011/7;13° LEN;A-5;Baixa do Feijão I;EOL.CV.RN.030932-0;30932;EOL;Eólica;Eólica;30,00;14,80;14,40;112,00;97,00;13,39;117027700,00;20;RN;1,84;58,70;52,57;63429647,70;EDP Renováveis Brasil S.A.
2022-10-01;2011;2011-12-20;2011/7;13° LEN;A-5;Baixa do Feijão II;EOL.CV.RN.030933-8;30933;EOL;Eólica;Eólica;30,00;14,40;14,00;112,00;97,00;13,39;117027700,00;20;RN;1,84;58,70;52,57;63429647,70;EDP Renováveis Brasil S.A.
2022-10-01;2011;2011-12-20;2011/7;13° LEN;A-5;Baixa do Feijão III;EOL.CV.RN.030934-6;30934;EOL;Eólica;Eólica;30,00;14,30;13,90;112,00;97,00;13,39;117027700,00;20;RN;1,84;58,70;52,57;63429647,70;EDP Renováveis Brasil S.A.
2022-10-01;2011;2011-12-20;2011/7;13° LEN;A-5;São Roque;UHE.PH.SC.030938-9;30938;UHE;Hidro;Hidro;135,00;90,90;81,80;123,00;91,20;25,85;652002390,00;30;SC;1,84;64,67;49,43;353388829,27;DESENVIX ENERGIAS RENOVÁVEIS S.A.
2022-10-01;2011;2011-12-20;2011/7;13° LEN;A-5;Conquista do Pontal;UTE.AI.SP.030024-1;30024;UTE;Biomassa;Bagaço de Cana;50,00;5,40;1,00;112,00;95,00;15,17;,00;25;SP;1,84;58,70;51,49;47021138,21;Usina Conquista do Pontal S.A.
2022-10-01;2011;2011-12-20;2011/7;13° LEN;A-5;Porto das Águas (II Fase);UTE.AI.GO.029999-5;29999;UTE;Biomassa;Bagaço de Cana;50,00;37,70;20,00;112,00;103,46;7,62;149100000,00;25;GO;1,84;58,70;56,08;80813008,13;Usina Porto das Águas S.A.
2022-10-01;2012;2012-12-14;2012/6;15° LEN;A-5;Santo Antônio do Jari;UHE.PH.AP.026792-9;26792;UHE;Hidro;Hidro;73,40;21,60;20,90;82,00;82,00;,00;,00;30;AP;2,08;37,32;39,32;116753011,12;ECE Participações S.A.
2022-10-01;2012;2012-12-14;2012/6;15° LEN;A-5;Ventos do Norte 1;EOL.CV.MA.030703-3;30703;EOL;Eólica;Eólica;28,80;16,60;16,60;112,00;87,77;21,63;,00;20;MA;2,08;51,70;42,08;37289029,54;Bioenergy Geradora de Energia S.A.
2022-10-01;2012;2012-12-14;2012/6;15° LEN;A-5;Ventos do Norte 2;EOL.CV.MA.030704-1;30704;EOL;Eólica;Eólica;28,80;17,00;17,00;112,00;87,77;21,63;,00;20;MA;2,08;51,70;42,08;37289029,54;Bioenergy Geradora de Energia S.A.
