DatGeracaoConjuntoDados;AnoLeilao;DatLeilao;NumLeilao;DscNumeroLeilaoCCEE;DscTipoLeilao;NomEmpreendimento;CodCEG;IdeNucleoCEG;SigTipoGeracao;DscFonteEnergia;DscDetalhamentoFonteEnergia;MdaPotenciaInstaladaMW;MdaGarantiaFisicaSEL;VlrEnergiaVendida;VlrPrecoTeto;VlrPrecoLeilao;VlrDesagio;VlrInvestimentoPrevisto;MdaDuracaoContrato;SigUFPrincipal;VlrCotacaoDolar;VlrPrecoTetoDolar;VlrPrecoDolar;VlrInvestimentoDolar;DscEmpresaVencedora
2022-10-01;2006;2006-06-29;2006/2;2° LEN;A-3;Porto das Pedras;PCH.PH.MS.028995-7;28995;PCH;Hidro;Hidro;28,03;21,30;21,00;125,00;124,70;,23;113722000,00;30;MS;2,17;55,40;57,26;52218752,87;Empresa Energética Portoa das Pedras Ltda.
2022-10-01;2006;2006-06-29;2006/2;2° LEN;A-3;São Domingos II;PCH.PH.GO.028388-6;28388;PCH;Hidro;Hidro;24,30;21,02;21,00;125,00;124,00;,80;108527730,00;30;GO;2,17;55,40;56,94;49833653,23;Santa Cruz Power Corporation Usinas Hidroelétricas S.A.
2022-10-01;2006;2006-06-29;2006/2;2° LEN;A-3;Santa Izabel (AMPLIAÇÃO);UTE.AI.SP.028401-7;28401;UTE;Biomassa;Bagaço de Cana;40,00;11,30;11,00;140,00;134,24;4,11;65400000,00;15;SP;2,17;62,29;61,64;30030305,81;Usina Santa Izabel S.A.
2022-10-01;2006;2006-06-29;2006/2;2° LEN;A-3;São João Biogás;UTE.RU.SP.028648-6;28648;UTE;Biomassa;Biogás;20,00;19,50;10,00;140,00;132,02;5,69;66560000,00;15;SP;2,17;62,29;60,62;30562953,44;São João Energia Ambiental S.A.
2022-10-01;2006;2006-06-29;2006/2;2° LEN;A-3;Potiguar;UTE.PE.RN.028655-9;28655;UTE;Óleo;Óleo Diesel;52,80;27,80;27,00;140,00;134,25;4,10;,00;15;RN;2,17;62,29;61,64;,00;Termoelétrica Potiguar S.A.
2022-10-01;2006;2006-06-29;2006/2;2° LEN;A-3;Cisframa;UTE.FL.SC.027978-1;27978;UTE;Biomassa;Cavaco de Madeira;4,00;2,30;2,00;140,00;133,92;4,34;,00;15;SC;2,17;62,29;61,49;,00;Comércio e Indústria de Madeira São Francisco Ltda.
2022-10-01;2006;2006-06-29;2006/2;2° LEN;A-3;Termopernambuco;UTE.GN.PE.028031-3;28031;UTE;Gás;Gás Natural;532,75;491,10;10,00;140,00;12,83;90,83;,00;15;PE;2,17;62,29;5,89;,00;Termopernambuco S.A.
2022-10-01;2006;2006-06-29;2006/2;2° LEN;A-3;Colorado (AMPLIAÇÃO);UTE.AI.SP.028094-1;28094;UTE;Biomassa;Bagaço de Cana;32,00;16,00;8,00;140,00;134,21;4,13;75695000,00;15;SP;2,17;62,29;61,63;34757553,49;Açúcar e Álcool Oswaldo Ribeiro de Mendonça Ltda.
2022-10-01;2006;2006-06-29;2006/2;2° LEN;A-3;Aimorés;UHE.PH.MG.000042-6;42;UHE;Hidro;Hidro;330,00;172,00;84,00;125,00;125,00;,00;,00;30;ES;2,17;55,40;57,40;,00;Cemig Geração e Transmissão S.A.
2022-10-01;2006;2006-06-29;2006/2;2° LEN;A-3;Cana Brava;UHE.PH.GO.000630-0;630;UHE;Hidro;Hidro;450,00;273,50;273,00;140,00;131,05;6,39;,00;30;GO;2,17;62,29;60,18;,00;Companhia Energética Meridional - CEM
