Nome: ENGENHO DE DENTRO
Codigo Estacao: A655
Latitude: -22.89472222
Longitude: -43.29138889
Altitude: 37
Situacao: Desativada
Data Inicial: 2007-07-02
Data Final: 2007-09-23
Periodicidade da Medicao: Mensal

Data Medicao;VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-07-31;.873188;
2007-08-31;1.074075;
2007-09-30;null;

